"transcript","Aip02","Aip05","Aip06","Aip12","Aip13","Aip14","Aip15","Aip17","Aip18","Aip19","Aip20","Aip21","Aip23","Aip24","Aip25","Aip26","Aip28","Aip29","Aip30","Aip32","Aip33","Aip34","Aip35","Aip36","Unk"
"TRINITY_GG_1066_c0_g1_i1",0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1066_c1_g1_i1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1067_c0_g1_i1",0,1,1,0,1,0,1,1,0,1,0,4,0,1,1,2,0,1,0,0,0,0,0,1,0
"TRINITY_GG_1067_c1_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1067_c2_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1068_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1069_c0_g1_i1",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_107_c0_g1_i1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0
"TRINITY_GG_1070_c0_g1_i1",0,0,2,1,1,0,3,1,3,2,0,1,0,0,2,1,0,1,1,1,0,0,0,1,0
"TRINITY_GG_1070_c1_g1_i1",1,2,4,5,4,5,1,3,5,5,3,4,5,1,1,5,2,2,5,0,2,3,10,2,1
"TRINITY_GG_1070_c2_g1_i1",0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,0,0,2,1,0,0,0,1,0,0
"TRINITY_GG_1071_c0_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
"TRINITY_GG_1072_c0_g1_i1",3,3,0,2,2,0,2,2,0,0,0,0,1,1,0,0,2,0,0,1,4,2,2,1,1
"TRINITY_GG_1072_c1_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1072_c1_g2_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1072_c10_g1_i1",0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1072_c11_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1072_c12_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRINITY_GG_1072_c13_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TRINITY_GG_1072_c14_g1_i1",0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
"TRINITY_GG_1072_c15_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"TRINITY_GG_1072_c16_g1_i1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
